Line Of Business,Female,Male
Office Of Audit & Evaluation (AAE),0.523809524,0.476190476
Office Of Civil Rights (ACR),0.606557377,0.393442623
Office Of Finance & Management (AFN),0.445070423,0.554929577
Office Of Chief Counsel (AGC),0.534883721,0.465116279
Office Of Gov't  &  Industry Affairs (AGI),0.666666667,0.333333333
Office Of Human Resource Mgt. (AHR),0.670658683,0.329341317
Office Of NextGen (ANG),0.29112426,0.70887574
Office Of Administrator (AOA),0.615384615,0.384615385
Office Of Communications (AOC),0.558139535,0.441860465
"Office Of Policy, Int'l Affairs, Env. (APL)",0.529605263,0.470394737
Office Of Airports (ARP),0.385585586,0.614414414
Office Of Security & Hazardous Materials Safety (ASH),0.399217221,0.600782779
Office Of Commercial Space Transportation (AST),0.333333333,0.666666667
Air Traffic Organization (ATO),0.187599563,0.812400437
Office Of Aviation Safety (AVS),0.259314255,0.740685745
